Filename,Acceptor_atom
9-Boralfluorene_X2C.inp.out,B 21
AlBr3_X2C.inp.out,Al 1
AlCN3_X2C.inp.out,Al 1
AlCl3_X2C.inp.out,Al 4
AlF3_X2C.inp.out,Al 1
AlI3_X2C.inp.out,Al 1
AlPh3_X2C.inp.out,Al 1
AlSCN3_X2C.inp.out,Al 1
AlTf3_X2C.inp.out,Al 1
Al_FPh3_X2C.inp.out,Al 33
Al_NHC_complex_X2C.inp.out,Al 1
Al_O_CCF3_3_3_X2C.inp.out,Al 4
AsBiPy2_X2C.inp.out,As 1
AsCl3_X2C.inp.out,As 1
AsF5_X2C.inp.out,As 1
AtF5_X2C.inp.out,At 1
BBr3_X2C.inp.out,B 1
BCN3_X2C.inp.out,B 1
BCl3_X2C.inp.out,B 1
BF3_X2C.inp.out,B 1
BH3_X2C.inp.out,B 1
BI3_X2C.inp.out,B 1
BMes2_X2C.inp.out,B 1
BPh3_X2C.inp.out,B 1
BSCN3_X2C.inp.out,B 1
B_FPh3_X2C.inp.out,B 33
B_oCb3_X2C.inp.out,B 29
BiBiPy2_X2C.inp.out,Bi 1
BiCl3_X2C.inp.out,Bi 1
BiF5_X2C.inp.out,Bi 1
BiI3_X2C.inp.out,Bi 1
BiTf3_X2C.inp.out,Bi 1
BrF3_X2C.inp.out,Br 1
C3H3_X2C.inp.out,C 1
C6H7_X2C.inp.out,C 6
Cp2ZrMe_X2C.inp.out,Zr 19
Et3Si_X2C.inp.out,Si 1
F-Me2Al_X2C.inp.out,Al 1
Fluorenyl_X2C.inp.out,C 1
GaBr3_X2C.inp.out,Ga 1
GaCl3_X2C.inp.out,Ga 1
GaF3_X2C.inp.out,Ga 1
GaI3_X2C.inp.out,Ga 4
Ga_FPh3_X2C.inp.out,Ga 33
GeBr4_X2C.inp.out,Ge 1
GeCl4_X2C.inp.out,Ge 1
GeF4_X2C.inp.out,Ge 1
Ge_FPh3_X2C.inp.out,Ge 33
HB_2_OMe_oCb2_X2C.inp.out,B 24
HgCl2_X2C.inp.out,Hg 1
ICl_X2C.inp.out,I 1
IF6_X2C.inp.out,I 1
InCl3_X2C.inp.out,In 1
InTf3_X2C.inp.out,In 1
Me3S_X2C.inp.out,S 1
NBS_X2C.inp.out,Br 1
NO_X2C.inp.out,N 1
NbCl5_X2C.inp.out,Nb 1
Ph2Br_X2C.inp.out,Br 1
Ph2I_X2C.inp.out,I 1
Ph3C_X2C.inp.out,C 1
ReF7_X2C.inp.out,Re 1
SF5_X2C.inp.out,S 1
SO2_X2C.inp.out,S 1
SO3_X2C.inp.out,S 1
SbBiPy2_X2C.inp.out,Sb 1
SbCl5_X2C.inp.out,Sb 1
SbF5_X2C.inp.out,Sb 1
Sb_FPh4_X2C.inp.out,Sb 33
SiBr4_X2C.inp.out,Si 1
SiCl4_X2C.inp.out,Si 1
SiF4_X2C.inp.out,Si 1
SnCl2Bu2_X2C.inp.out,Sn 1
SnCl2_X2C.inp.out,Sn 1
SnCl4_X2C.inp.out,Sn 1
SnPh3_X2C.inp.out,Sn 1
TaCl5_X2C.inp.out,Ta 1
TiCl4_X2C.inp.out,Ti 1
TiI4_X2C.inp.out,Ti 1
VOCl3_X2C.inp.out,V 1
WF6_X2C.inp.out,W 1
XeF2_X2C.inp.out,Xe 1
XeF6_X2C.inp.out,Xe 1
XeF_X2C.inp.out,Xe 1
ZrCl4_X2C.inp.out,Zr 1
tBu_X2C.inp.out,C 1
CuBEA_5MR_X2C.inp.out,Cu 94
ZnBEA_sep_X2C.inp.out,Zn 94
SiO2_AlOCF3_3_2_X2C.inp.out,Al 11
AgBEA_5MR_X2C.inp.out,Ag 94
InBEA_5MR_X2C.inp.out,In 94
SiO2_BOCb2_X2C.inp.out,B 32
ZnBEA_5MR_X2C.inp.out,Zn 94